Day,Date,Trades
1,2025-01-01,L1.0R
2,2025-01-02,W2.0R
3,2025-01-03,"W1.0R,L1.0R"
4,2025-01-06,L1.0R
5,2025-01-07,W2.0R
6,2025-01-08,W1.5R
7,2025-01-09,L1.0R
8,2025-01-10,"L1.0R,W2.0R"
9,2025-01-13,L1.0R
10,2025-01-14,BE
11,2025-01-15,L1.0R
12,2025-01-16,W1.7R
13,2025-01-17,"W2.0R,L1.0R"
14,2025-01-20,L1.0R
15,2025-01-21,"L1.0R,L1.0R"
16,2025-01-27,W1.5R
17,2025-01-28,W2.0R
18,2025-01-30,W2.0R
19,2025-01-31,L1.0R
20,2025-02-05,L1.0R
21,2025-02-06,W2.0R
22,2025-02-07,W2.0R
23,2025-02-10,W2.0R
24,2025-02-11,L1.0R
25,2025-02-13,L1.0R
26,2025-02-14,W1.7R
27,2025-02-17,L1.0R
28,2025-02-19,W2.0R
29,2025-02-20,W2.0R
30,2025-02-21,W1.5R
31,2025-02-24,W3.5R
32,2025-02-25,"W2.0R,W1.0R"
33,2025-02-26,L1.0R
34,2025-02-27,W2.0R
35,2025-02-28,W2.0R
